Cluster	HADDOCK Score	Cluster Size	RMSD	VdW Energy	Electrostatic Energy	Desolvation Energy	Restraints Violation Energy	Buried Surface Area	Z-Score
200	-116.5	1	0.0	-18.4	-567.5	15.4	0	1776.1	-2.7
199	-85.8	1	11.5	-35.3	-271.2	3.8	0	1387.1	-0.5
198	-79.9	1	11.5	-12.8	-413.4	15.6	0	1309.8	-0.1
197	-79.5	1	12.3	-25.0	-303.7	6.2	0	1357.1	0.0
196	-77.6	1	27.0	-39.8	-262.6	14.7	0	1693.5	0.1
195	-75.7	1	27.0	-14.0	-466.3	16.2	0	1148.4	0.3
194	-71.3	1	16.7	-28.8	-282.6	14.0	0	1060.6	0.6
193	-70.7	1	19.5	-32.6	-242.0	10.2	0	1360.0	0.6
192	-69.5	1	28.5	-32.6	-268.2	16.7	0	1457.9	0.7
191	-65.0	1	19.9	-27.3	-256.1	13.6	0	1248.6	1.0
